#ClinGen Gene Curation Results
#24 Nov,2021
#Genomic Locations are reported on GRCh37 (hg19): GCF_000001405.13
#https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen
#to create link: https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=Gene Symbol
#Gene Symbol	Gene ID	cytoBand	Genomic Location	Haploinsufficiency Score	Haploinsufficiency Description	Haploinsufficiency PMID1	Haploinsufficiency PMID2	Haploinsufficiency PMID3	Haploinsufficiency PMID4	Haploinsufficiency PMID5	Haploinsufficiency PMID6	Triplosensitivity Score	Triplosensitivity Description	Triplosensitivity PMID1	Triplosensitivity PMID2	Triplosensitivity PMID3	Triplosensitivity PMID4	Triplosensitivity PMID5	Triplosensitivity PMID6	Date Last Evaluated	Loss phenotype OMIM ID	Triplosensitive phenotype OMIM ID
SH2D1A	4068	Xq25	chrX:123480132-123507010	3	Sufficient evidence for dosage pathogenicity	11049992	11159547	31144249				0	No evidence available							2021-01-27	308240	
SH3TC2	79628	5q32	chr5:148361713-148442737	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	601596	
SHANK1	50944	19q13.33	chr19:51162514-51220195	1	Little evidence for dosage pathogenicity	27824329						0	No evidence available							2019-03-27		
SHANK2	22941	11q13.3-q13.4	chr11:70313961-70935842	2	Some evidence for dosage pathogenicity	20473310	22346768	25560758				0	No evidence available							2018-01-24		
SHANK3	85358	22q13.33	chr22:51113070-51171640	3	Sufficient evidence for dosage pathogenicity	23758760	21984749	21779178				0	No evidence available							2018-08-14	606232	
SHH	6469	7q36.3	chr7:155592678-155604967	3	Sufficient evidence for dosage pathogenicity	10556296	12567406	22791840				0	No evidence available	19431187						2020-06-24	142945	
SHOC2	8036	10q25.2	chr10:112679128-112773425	0	No evidence available	24739123						0	No evidence available							2018-09-25		
SHROOM4	57477	Xp11.22	chrX:50334642-50557044	0	No evidence available							0	No evidence available							2012-10-10		
SI	6476	3q26.1	chr3:164696686-164796283	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	222900	
SIGLEC5	8778	19q13.41	chr19:52114756-52133727	40	Dosage sensitivity unlikely	32487729	28406212	25807282	26940866	32461654		0	No evidence available							2021-02-02		
SIL1	64374	5q31.2	chr5:138282409-138534065	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2021-08-23	248800	
SIM1	6492	6q16.3	chr6:100836750-100911551	1	Little evidence for dosage pathogenicity	10587584						0	No evidence available							2012-04-25	601665	
SIN3A	25942	15q24.2	chr15:75661720-75748124	3	Sufficient evidence for dosage pathogenicity	27399968	30267900					0	No evidence available							2020-01-13	613406	
SIX1	6495	14q23.1	chr14:61111417-61116155	0	No evidence available							0	No evidence available							2012-03-22		
SIX3	6496	2p21	chr2:45169037-45173216	3	Sufficient evidence for dosage pathogenicity	19346217	20157829	20531442				0	No evidence available							2020-09-23	157170	
SIX4	51804	14q23.1	chr14:61176256-61190852	0	No evidence available							0	No evidence available							2012-05-08		
SIX6	4990	14q23.1	chr14:60975938-60978525	0	No evidence available							0	No evidence available							2012-03-22		
SKI	6497	1p36.33-p36.32	chr1:2160134-2241652	0	No evidence available							0	No evidence available							2012-01-06		
SLC12A1	6557	15q21.1	chr15:48498498-48596275	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-04-28		
SLC12A3	6559	16q13	chr16:56899119-56949762	30	Gene associated with autosomal recessive phenotype	21415153						0	No evidence available							2012-02-23	263800	
SLC13A5	284111	17p13.1	chr17:6588032-6616740	30	Gene associated with autosomal recessive phenotype	615905						0	No evidence available							2016-08-22	615905	
SLC16A12	387700	10q23.31	chr10:91190051-91295313	1	Little evidence for dosage pathogenicity	18304496						0	No evidence available							2011-12-21	612018	
SLC16A2	6567	Xq13.2	chrX:73641328-73753764	3	Sufficient evidence for dosage pathogenicity							0	No evidence available							2012-06-28	300523	
SLC17A5	26503	6q13	chr6:74303102-74363737	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22		
SLC17A8	246213	12q23.1	chr12:100750857-100815837	2	Some evidence for dosage pathogenicity	26797701	28647561					0	No evidence available							2018-02-27		
SLC22A14	9389	3p22.2	chr3:38323785-38360066	40	Dosage sensitivity unlikely	32487729	22344438	28406212	25807282	32461654		0	No evidence available							2021-02-02		
SLC22A18	5002	11p15.4	chr11:2920951-2946476	0	No evidence available							0	No evidence available							2012-03-22		
SLC24A1	9187	15q22.31	chr15:65903743-65953256	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	613830	
SLC25A1	6576	22q11.21	chr22:19163088-19166376	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	615182	
SLC25A12	8604	2q31.1	chr2:172639915-172750816	0	No evidence available							0	No evidence available							2012-01-19		
SLC25A13	10165	7q21.3	chr7:95749532-95951459	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	605814	
SLC25A19	60386	17q25.1	chr17:73269061-73285530	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22		
SLC2A1	6513	1p34.2	chr1:43391046-43424847	3	Sufficient evidence for dosage pathogenicity	10980529	25532859	25564316				0	No evidence available							2016-03-24	612126	
SLC2A10	81031	20q13.12	chr20:45338279-45364986	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2018-02-01	208050	
SLC30A10	55532	1q41	chr1:220087606-220101993	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	613280	
SLC34A1	6569	5q35.3	chr5:176811432-176825849	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22		
SLC34A2	10568	4p15.2	chr4:25657435-25680370	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	265100	
SLC35A2	7355	Xp11.23	chrX:48760457-48769235	3	Sufficient evidence for dosage pathogenicity	27743886	24115232	23561849				0	No evidence available							2018-01-24	300896	
SLC35C1	55343	11p11.2	chr11:45825623-45834567	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	266265	
SLC35D1	23169	1p31.3	chr1:67465015-67520080	30	Gene associated with autosomal recessive phenotype	19508970						0	No evidence available							2016-04-11	269250	
SLC37A4	2542	11q23.3	chr11:118895061-118901616	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22		
SLC38A5	92745	Xp11.23	chrX:48316920-48328644	0	No evidence available							0	No evidence available							2012-09-26		
SLC38A8	146167	16q23.3	chr16:84043272-84075762	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	609218	
SLC3A1	6519	2p21	chr2:44502597-44547963	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-03-21		
SLC4A10	57282	2q24.2	chr2:162480845-162841786	1	Little evidence for dosage pathogenicity	17363630						0	No evidence available							2012-04-11		
SLC52A3	113278	20p13	chr20:740724-749228	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	211530	
SLC5A1	6523	22q12.3	chr22:32439019-32509016	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	606824	
SLC6A1	6529	3p25.3	chr3:11034420-11080935	3	Sufficient evidence for dosage pathogenicity	23020937	25865495	28849312				0	No evidence available							2019-09-25		
SLC6A18	348932	5p15.33	chr5:1225470-1246304	40	Dosage sensitivity unlikely	32487729	22344438	28406212	25807282	32461654		0	No evidence available							2021-02-02		
SLC6A3	6531	5p15.33	chr5:1392905-1445543	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	613135	
SLC6A4	6532	17q11.2	chr17:28521337-28562986	0	No evidence available							0	No evidence available							2012-05-10		
SLC6A8	6535	Xq28	chrX:152953752-152962048	3	Sufficient evidence for dosage pathogenicity	29478817	23644449	23660394				0	No evidence available							2020-11-10	300352	
SLC7A7	9056	14q11.2	chr14:23242431-23289020	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	222700	
SLC7A9	11136	19q13.11	chr19:33321417-33360683	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2021-08-23	220100	
SLC9A6	10479	Xq26.3	chrX:135067583-135129428	3	Sufficient evidence for dosage pathogenicity	18342287	21812100	24630051				0	No evidence available							2020-12-08	300243	
SLURP1	57152	8q24.3	chr8:143822362-143823829	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2017-06-08	248300	
SMAD2	4087	18q21.1	chr18:45359466-45457517	0	No evidence available							0	No evidence available							2018-06-28		
SMAD3	4088	15q22.33	chr15:67358195-67487533	3	Sufficient evidence for dosage pathogenicity	30661052	29907982	29392890				0	No evidence available							2020-04-22	613795	
SMAD4	4089	18q21.2	chr18:48556583-48611412	3	Sufficient evidence for dosage pathogenicity	17873119	20101697	18823382				0	No evidence available							2020-12-16	175050	
SMARCA2	6595	9p24.3	chr9:2015219-2193624	0	No evidence available							0	No evidence available							2013-03-27	601358	
SMARCA4	6597	19p13.2	chr19:11071598-11172958	2	Some evidence for dosage pathogenicity	20137775	23775540					0	No evidence available							2013-09-04	613325	
SMARCB1	6598	22q11.23|22q11	chr22:24129118-24176705	3	Sufficient evidence for dosage pathogenicity	21108436	29706634	18285426				0	No evidence available							2020-04-22	609322	
SMC1A	8243	Xp11.22	chrX:53401070-53449677	3	Sufficient evidence for dosage pathogenicity	24896178	26386245	28166369				0	No evidence available							2018-07-23	300590	
SMOC1	64093	14q24.2	chr14:70346114-70499083	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	206920	
SMOC2	64094	6q27	chr6:168841831-169068674	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	125400	
SMS	6611	Xp22.11	chrX:21958691-22012955	3	Sufficient evidence for dosage pathogenicity	14508504	18550699	19206178				0	No evidence available							2012-08-23	309583	
SNAP29	9342	22q11.21	chr22:21213292-21245502	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	609528	
SNORD107	91380	15q11.2	chr15:25227141-25227215	0	No evidence available							0	No evidence available							2012-04-24		
SNORD108	338427	15q11.2	chr15:25232072-25232140	0	No evidence available							0	No evidence available							2012-07-06		
SNORD109B	338429	15q11.2	chr15:25523490-25523556	0	No evidence available							0	No evidence available							2012-04-28		
SNORD64	347686	15q11.2	chr15:25230247-25230313	0	No evidence available							0	No evidence available							2012-07-06		
SNORD8	319103	14q11.2	chr14:21865452-21865560	0	No evidence available							0	No evidence available							2015-03-11		
SNORD9	692053	14q11.2	chr14:21860310-21860412	0	No evidence available							0	No evidence available							2015-03-11		
SNRPN	6638	15q11.2	chr15:25068784-25223870	0	No evidence available							0	No evidence available							2012-10-26		
SNURF	8926	15q11.2	chr15:25200040-25223870	1	Little evidence for dosage pathogenicity	22511895						0	No evidence available							2012-09-06		
SOBP	55084	6q21	chr6:107811317-107982513	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	613671	
SON	6651	21q22.11	chr21:34915344-34949820	3	Sufficient evidence for dosage pathogenicity	25590979	27256762	27545680				0	No evidence available							2019-04-24	617140	
SOS1	6654	2p22.1	chr2:39208690-39347604	0	No evidence available	21387466						0	No evidence available							2012-03-30		
SOST	50964	17q21.31	chr17:41831099-41836156	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-08-22	269500	
SOX10	6663	22q13.1	chr22:38368319-38380539	3	Sufficient evidence for dosage pathogenicity	17999358	9462749	10077527				0	No evidence available							2013-07-18	613266	
SOX11	6664	2p25.2	chr2:5832799-5841517	3	Sufficient evidence for dosage pathogenicity	18992374	26543203	24886874				0	No evidence available							2017-03-15	615866	
SOX2	6657	3q26.33	chr3:181429712-181432224	3	Sufficient evidence for dosage pathogenicity	17522144	16543359	12612584				0	No evidence available							2012-07-06	206900	
SOX5	6660	12p12.1	chr12:23682438-24715524	3	Sufficient evidence for dosage pathogenicity	22290657	23498568	23220431				0	No evidence available							2016-08-19	616803	
SOX8	30812	16p13.3	chr16:1031808-1036979	0	No evidence available			18492098				0	No evidence available							2012-02-22		
SPAST	6683	2p22.3	chr2:32288680-32382706	3	Sufficient evidence for dosage pathogenicity	24690193	28572275	15667412				0	No evidence available							2019-09-25	182601	
SPATA7	55812	14q31.3	chr14:88851988-88904804	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	604232	
SPEG	10290	2q35	chr2:220299700-220358354	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	615959	
SPEN	23013	1p36.21-p36.13	chr1:16174359-16266950	1	Little evidence for dosage pathogenicity	25363768	27525107	28135719				0	No evidence available							2019-03-27		
SPG21	51324	15q22.31	chr15:65255362-65282284	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	248900	
SPG7	6687	16q24.3	chr16:89574796-89624176	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	607259	
SPINK1	6690	5q32	chr5:147204143-147218794	3	Sufficient evidence for dosage pathogenicity	17681820	22427236	10835640	16823394	27578509	14722925	0	No evidence available							2021-10-25		
SPINK5	11005	5q32	chr5:147443535-147516925	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	256500	
SPP2	6694	2q37.1	chr2:234959346-234985776	0	No evidence available							0	No evidence available							2019-02-27		
SPRED1	161742	15q14	chr15:38545052-38649450	3	Sufficient evidence for dosage pathogenicity	17704776	19443465					0	No evidence available							2013-03-14	611431	
SRCAP	10847	16p11.2	chr16:30710462-30751450	1	Little evidence for dosage pathogenicity	28263302	25363768					0	No evidence available							2018-05-31		
SRD5A2	6716	2p23.1	chr2:31749656-31806040	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-08-22	264600	
SRPX2	27286	Xq22.1	chrX:99899163-99926296	0	No evidence available							0	No evidence available							2012-07-25		
SRY	6736	Yp11.2	chrY:2654896-2655782	3	Sufficient evidence for dosage pathogenicity	1639410	1339396	7987333				0	No evidence available							2020-12-22	400044	
ST14	6768	11q24.3	chr11:130029682-130080257	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	602400	
ST3GAL5	8869	2p11.2	chr2:86066271-86116157	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2014-09-25	609056	
STAT1	6772	2q32.2	chr2:191833762-191878976	0	No evidence available							0	No evidence available							2013-09-18		
STIL	6491	1p33	chr1:47715811-47779819	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	612703	
STK11	6794	19p13.3	chr19:1205798-1228434	3	Sufficient evidence for dosage pathogenicity	2563227	20623358	23892522	28231849			0	No evidence available							2021-11-10		
STRC	161497	15q15.3	chr15:43891761-43910998	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	603720	
STS	412	Xp22.31	chrX:7065293-7272684	3	Sufficient evidence for dosage pathogenicity	2813406	10692123	9252398				0	No evidence available							2018-09-13	308100	
STT3A	3703	11q24.2	chr11:125462690-125492654	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2014-08-29	615596	
STUB1	10273	16p13.3	chr16:730111-732768	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	615768	
STX11	8676	6q24.2	chr6:144471654-144513076	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	603552	
STXBP1	6812	9q34.11	chr9:130374486-130454995	3	Sufficient evidence for dosage pathogenicity	19557857	23409955					0	No evidence available							2013-06-20	612164	
SUCLG1	8802	2p11.2	chr2:84650647-84686586	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	245400	
SUMF1	285362	3p26.1	chr3:4402829-4508966	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	272200	
SUPT16H	11198	14q11.2	chr14:21819631-21852425	0	No evidence available							0	No evidence available							2012-05-09		
SURF1	6834	9q34.2	chr9:136218660-136223361	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	256000	
SUZ12	23512	17q11.2	chr17:30264029-30328064	0	No evidence available							0	No evidence available							2012-07-06		
SYN1	6853	Xp11.3-p11.23	chrX:47431300-47479256	2	Some evidence for dosage pathogenicity	14985377	21441247					0	No evidence available							2018-09-26	300491	
SYNE4	163183	19q13.12	chr19:36494201-36499695	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	615540	
SYNGAP1	8831	6p21.32	chr6:33387847-33421466	3	Sufficient evidence for dosage pathogenicity	26989088	30541864	21237447  19196676	25533962	23708187	26079862	0	No evidence available							2021-11-09		
SYP	6855	Xp11.23	chrX:49044265-49056661	1	Little evidence for dosage pathogenicity	19377476						0	No evidence available							2018-09-26	300802	
SYT14	255928	1q32.2	chr1:210111519-210337636	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	614229	
TAB2	23118	6q25.1	chr6:149539060-149732749	1	Little evidence for dosage pathogenicity	27452334	28464518	31959127				0	No evidence available							2020-05-27	614980	
TACSTD2	4070	1p32.1	chr1:59041095-59043166	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	204870	
TAF13	6884	1p13.3	chr1:109606998-109618624	1	Little evidence for dosage pathogenicity	24463507						0	No evidence available							2019-05-22		
TAF2	6873	8q24.12	chr8:120743014-120845074	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	615599	
TARDBP	23435	1p36.22	chr1:11072679-11085549	0	No evidence available	19959528	18931000					0	No evidence available							2018-09-25		
TBC1D20	128637	20p13	chr20:416121-443197	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	615663	
TBC1D5	9779	3p24.3	chr3:17198654-17782399	0	No evidence available							0	No evidence available							2015-10-30		
TBCE	6905	1q42.3	chr1:235530675-235612283	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-05-17		
TBL1XR1	79718	3q26.32	chr3:176737143-176915114	3	Sufficient evidence for dosage pathogenicity	22495309	25425123	26740553				1	Little evidence for dosage pathogenicity	28574232						2019-03-27	616944	
TBR1	10716	2q24.2	chr2:162272605-162282378	3	Sufficient evidence for dosage pathogenicity	24458984	25849321	23160955				0	No evidence available							2018-01-24		
TBX1	6899	22q11.21	chr22:19744226-19771116	2	Some evidence for dosage pathogenicity	14585638	16684884					0	No evidence available							2012-03-22	192430	
TBX2	6909	17q23.2	chr17:59477257-59486827	1	Little evidence for dosage pathogenicity	28372585						0	No evidence available							2018-08-08		
TBX20	57057	7p14.2	chr7:35242042-35293711	1	Little evidence for dosage pathogenicity	17668378						0	No evidence available							2013-04-26	611363	
TBX22	50945	Xq21.1	chrX:79270255-79287268	3	Sufficient evidence for dosage pathogenicity	11559848	17868388					0	No evidence available							2016-03-24	303400	
TBX3	6926	12q24.21	chr12:115108059-115121969	3	Sufficient evidence for dosage pathogenicity	12668170	28145909	12116211				0	No evidence available							2020-09-23	181450	
TBX4	9496	17q23.2	chr17:59529779-59562471	3	Sufficient evidence for dosage pathogenicity	15106123	23592887	29120062				0	No evidence available							2019-12-11	147891	
TBX5	6910	12q24.21	chr12:114791735-114846247	3	Sufficient evidence for dosage pathogenicity	24664498	10077612	12818525				0	No evidence available							2020-07-29	142900	
TCF12	6938	15q21.3	chr15:57210288-57583459	3	Sufficient evidence for dosage pathogenicity	23354436	25271085					0	No evidence available							2015-10-15	615314	
TCF20	6942	22q13.2|22q13.3	chr22:42556019-42679933	3	Sufficient evidence for dosage pathogenicity	27436265	25228304	28135719				0	No evidence available							2019-06-26		
TCF4	6925	18q21.2	chr18:52889429-53303224	3	Sufficient evidence for dosage pathogenicity	17478476	29604340	22045651				0	No evidence available							2020-07-08	610954	
TCF7L2	6934	10q25.2-q25.3	chr10:114710009-114927437	1	Little evidence for dosage pathogenicity	25363768						0	No evidence available							2019-03-27		
TCIRG1	10312	11q13.2	chr11:67806462-67818366	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	259700	
TCN2	6948	22q12.2	chr22:31003070-31023047	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	275350	
TCOF1	6949	5q32-q33.1	chr5:149737202-149779871	3	Sufficient evidence for dosage pathogenicity	9042910	12114482	15340364	8875242	22317976	25790162	0	No evidence available							2021-04-28	154500	
TCTN1	79600	12q24.11	chr12:111051832-111086935	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-03-23	614173	
TCTN2	79867	12q24.31	chr12:124155660-124192950	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	613885	
TDGF1	6997	3p21.31	chr3:46616045-46623953	1	Little evidence for dosage pathogenicity	12073012						0	No evidence available							2011-12-27		
TDP1	55775	14q32.11	chr14:90422246-90511108	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	607250	
TECPR2	9895	14q32.31	chr14:102829249-102968818	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	615031	
TECTA	7007	11q23.3	chr11:120973375-121061515	30	Gene associated with autosomal recessive phenotype	12746400	28012541	21520338				0	No evidence available							2018-02-07	603629	
TERT	7015	5p15.33	chr5:1253282-1295162	1	Little evidence for dosage pathogenicity	17875000	12629597	16284252				0	No evidence available							2011-11-17		
TEX26	122046	13q12.3	chr13:31506834-31549153	40	Dosage sensitivity unlikely	32487729	25807282	32461654				0	No evidence available							2021-02-03		
TFAP2B	7021	6p12.3	chr6:50786439-50815326	3	Sufficient evidence for dosage pathogenicity	21643846	15684060					0	No evidence available							2015-08-13	169100	
TFR2	7036	7q22.1	chr7:100218039-100239173	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	604250	
TGFBR1	7046	9q22.33	chr9:101867371-101916474	2	Some evidence for dosage pathogenicity	21358634						0	No evidence available							2012-04-25	609192	
TGFBR2	7048	3p24.1	chr3:30647994-30735634	2	Some evidence for dosage pathogenicity	18781618	15235604	15731757				0	No evidence available							2012-04-11	610168	
TGIF1	7050	18p11.31	chr18:3411925-3458409	3	Sufficient evidence for dosage pathogenicity	16962354	12522553	22125506				0	No evidence available							2012-05-10	142946	
TGM1	7051	14q12	chr14:24718320-24732416	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	242300	
TGM5	9333	15q15.2	chr15:43524793-43559055	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	609796	
THRA	7067	17q21.1	chr17:38218446-38250120	0	No evidence available							0	No evidence available							2013-08-22		
TIGD6	81789	5q32	chr5:149372686-149380730	40	Dosage sensitivity unlikely	32487729	22344438	25807282	28406212	26940866	32461654	0	No evidence available							2021-02-03		
TIMM8A	1678	Xq22.1	chrX:100600644-100603957	3	Sufficient evidence for dosage pathogenicity	11405816	17471106	22736418	17851739	30634948	31903733	0	No evidence available							2021-03-24	304700	
TJP2	9414	9q21.11	chr9:71736180-71870124	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	615878	
TLX3	30012	5q35.1	chr5:170736288-170739138	0	No evidence available							0	No evidence available							2018-09-25		
TMC6	11322	17q25.3	chr17:76108999-76128508	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	226400	
TMC8	147138	17q25.3	chr17:76126859-76139049	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	226400	
TMCO1	54499	1q24.1	chr1:165693528-165738159	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	213980	
TMEM127	55654	2q11.2	chr2:96915946-96931751	3	Sufficient evidence for dosage pathogenicity	21156949	20154675	28384794	23551308	25389632		0	No evidence available							2021-07-13	171300	
TMEM135	65084	11q14.2	chr11:86748886-87039876	0	No evidence available							0	No evidence available							2015-11-02		
TMEM231	79583	16q23.1	chr16:75572015-75590184	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22		
TMEM237	65062	2q33.1	chr2:202484907-202508252	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-04-08	614424	
TMEM43	79188	3p25.1	chr3:14166440-14185180	0	No evidence available							0	No evidence available							2015-11-08		
TMEM67	91147	8q22.1	chr8:94767072-94831462	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22		
TMLHE	55217	Xq28	chrX:154718672-154842622	1	Little evidence for dosage pathogenicity	21865298	22566635	23092983				0	No evidence available							2013-08-01		
TMPRSS3	64699	21q22.3	chr21:43791996-43816955	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	601072	
TMPRSS6	164656	22q12.3	chr22:37461476-37505603	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	206200	
TNFRSF11B	4982	8q24.12	chr8:119935796-119964383	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	239000	
TNNI3	7137	19q13.42	chr19:55663135-55669100	1	Little evidence for dosage pathogenicity	18006163						0	No evidence available							2015-11-20	115210	
TNNT1	7138	19q13.42	chr19:55644066-55660722	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	605355	
TNNT2	7139	1q32.1	chr1:201328136-201346828	0	No evidence available							0	No evidence available							2015-11-15		
TNRC6B	23112	22q13.1	chr22:40440821-40731812	3	Sufficient evidence for dosage pathogenicity	25284784	25363768	27479843				0	No evidence available							2019-06-26		
TP53	7157	17p13.1	chr17:7571720-7590868	3	Sufficient evidence for dosage pathogenicity	26014290	21056402	28369373	26681312	12584563		0	No evidence available							2021-11-10		
TP63	8626	3q28	chr3:189314535-189615068	1	Little evidence for dosage pathogenicity	11462173						0	No evidence available							2012-09-06		
TP73	7161	1p36.32	chr1:3569129-3652765	0	No evidence available							0	No evidence available							2012-07-06		
TPK1	27010	7q35	chr7:144149034-144533146	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	614458	
TPM1	7168	15q22.2	chr15:63334838-63364114	0	No evidence available							0	No evidence available							2015-11-09		
TPO	7173	2p25.3	chr2:1417233-1546499	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	274500	
TPRN	286262	9q34.3	chr9:140086069-140095163	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	613307	
TPSD1	23430	16p13.3	chr16:1306273-1308494	40	Dosage sensitivity unlikely	32487729	25807282	32461654				0	No evidence available							2021-02-03		
TRAPPC10	7109	21q22.3	chr21:45432206-45526433	0	No evidence available							0	No evidence available							2012-09-06		
TRAPPC2	6399	Xp22.2	chrX:13730361-13752754	3	Sufficient evidence for dosage pathogenicity	11252002	12919139	11349230				0	No evidence available							2014-01-16		
TRAPPC9	83696	8q24.3	chr8:140739968-141468678	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-08-06	613192	
TRDN	10345	6q22.31	chr6:123537484-123958238	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	615441	
TRHR	7201	8q23.1	chr8:110099653-110131813	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	618573	
TRIM2	23321	4q31.3	chr4:154074270-154260474	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	615490	
TRIM32	22954	9q33.1	chr9:119449581-119463579	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	254110	
TRIM37	4591	17q22	chr17:57059999-57184282	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	253250	
TRIO	7204	5p15.2	chr5:14143811-14510313	3	Sufficient evidence for dosage pathogenicity	25533962	25363760	26721934				0	No evidence available							2018-01-24	617061	
