Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
POLE	gene	POLE	ESID Registry 20171117;Expert Review Amber;GRID V2.0;IUIS Classification February 2018;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	FILS syndrome 615139;Facial dysmorphism, immunodeficiency, livedo, and short stature (FILS syndrome);Recurrent respiratory infections, meningitis, facial dysmorphism, livido, short stature;Combined immunodeficiencies with associated or syndromic features				23230001		False	2	33;67;0	2.465	False		ENSG00000177084	ENSG00000177084	HGNC:9177													
POLR3A	gene	POLR3A	Expert list;Expert Review Amber	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Severe VZV infection				28783042;29728610		False	2	0;100;0	2.465	False		ENSG00000148606	ENSG00000148606	HGNC:30074													
POLR3C	gene	POLR3C	Expert list;Expert Review Amber	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Severe VZV infection				28783042		False	2	0;100;0	2.465	False		ENSG00000186141	ENSG00000186141	HGNC:30076													
PRIM1	gene	PRIM1	Expert Review Amber;Literature	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Microcephalic primordial dwarfism, MONDO:0017950				33060134		False	2	100;0;0	2.465	False		ENSG00000198056	ENSG00000198056	HGNC:9369													
PSENEN	gene	PSENEN	Expert Review Amber;IUIS Classification December 2019;IUIS Classification February 2018	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Defects in intrinsic and innate immunity;Acne inversa, familial, 2, with or without Dowling-Degos disease 613736;Defects in Intrinsic and Innate Immunity;Hidradenitis suppurativa				21412258;28601418;23439959;32048120;27900998;28287404;20929727;28922471;23020871;32086639		False	2	0;100;0	2.465	False		ENSG00000205155	ENSG00000205155	HGNC:30100													
PSMA3	gene	PSMA3	Expert Review Amber;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency				CANDLE syndrome (Autoinflammation, lipodystrophy, and dermatosis syndrome)				26524591		False	2	20;60;20	2.465	False		ENSG00000100567	ENSG00000100567	HGNC:9532													
PSMB10	gene	PSMB10	Expert Review Amber;Literature	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Proteasome-associated autoinflammatory syndrome (PRAAS)				31783057		False	2	50;50;0	2.465	False		ENSG00000205220	ENSG00000205220	HGNC:9538													
PSMB4	gene	PSMB4	Expert Review Amber;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	CANDLE syndrome (Autoinflammation, lipodystrophy, and dermatosis syndrome)				26524591		False	2	25;75;0	2.465	False		ENSG00000159377	ENSG00000159377	HGNC:9541													
PSMB9	gene	PSMB9	Expert Review Amber;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Autoinflammation, lipodystrophy, and dermatosis syndrome;CANDLE syndrome (Autoinflammation, lipodystrophy, and dermatosis syndrome)				26524591		False	2	25;75;0	2.465	False		ENSG00000240065	ENSG00000240065	HGNC:9546													
PTEN	gene	PTEN	Expert Review Amber;IUIS Classification December 2019;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Recurrent infections, Lymphoproliferation, Autoimmunity;developmental delay;Predominantly Antibody Deficiencies;Lymphoproliferation, Autoimmunity				32048120;27426521;32086639		False	2	0;100;0	2.465	False		ENSG00000171862	ENSG00000171862	HGNC:9588													
PTPN2	gene	PTPN2	Expert Review Amber;Literature	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Lupus;arthritis;common variable immunodeficiency				32499645;27658548		False	2	0;100;0	2.465	False		ENSG00000175354	ENSG00000175354	HGNC:9650													
RAC2	gene	RAC2	Combined B and T cell defect v1.12;Congenital neutropaenia v1.22;ESID Registry 20171117;Expert Review Amber;GRID V2.0;IUIS Classification February 2018;SCID v1.6;Victorian Clinical Genetics Services	Primary immunodeficiency			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	T-B- SCID;T-B+ SCID;Neutrophil immunodeficiency syndrome 608203;Neutrophil immunodeficiency syndrome;RAS-related C3 Bolutinum toxin substrate 2 deficiency (RAC2);Poor wound healing, leukocytosis;Congenital defects of phagocyte number or function;Reticular dysgenesis;Recurrent sinopulmonary infections, selective IgA defiency;poststreptococcal glomerulonephritis;urticaria				21167572;30654050;30723080;31071452;25512081;10758162;31382036;10961859;32198141;31919089		False	2	17;17;67	2.465	False		ENSG00000128340	ENSG00000128340	HGNC:9802													
RC3H1	gene	RC3H1	Expert Review Amber;Literature	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Hemophagocytic lymphohistiocytosis				31636267;15917799		False	2	0;100;0	2.465	False		ENSG00000135870	ENSG00000135870	HGNC:29434													
RECQL4	gene	RECQL4	ESID Registry 20171117;Expert Review Amber	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Combined immunodeficiency;Rothmund-Thomson syndrome, 268400				16630167;21143835;26064716;30174688		False	2	0;50;50	2.465	False		ENSG00000160957	ENSG00000160957	HGNC:9949													
RELA	gene	RELA	Expert Review Amber;IUIS Classification December 2019	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Mucocutaneous ulceration, chronic, 618287;RelA haplosufficiency;Mucosal ulceration, impaired NFkB activation;Immunodeficiencies affecting cellular and humoral immunity				28600438;32086639;32048120;29305315		False	2	0;100;0	2.465	False		ENSG00000173039	ENSG00000173039	HGNC:9955													
RHOH	gene	RHOH	ESID Registry 20171117;Expert Review Amber;GRID V2.0;IUIS Classification December 2019;IUIS Classification February 2018;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	RhoH deficiency;T cell deficiency and various infectious diseases;Epidermodysplasia verruciformis;HPV infection, lung granulomas, molluscum contagiosum, lymphoma;Immunodeficiencies affecting cellular and humoral immunity;Combined immunodeficiency				32086639;24189071;22850876;32048120		False	2	0;100;0	2.465	False		ENSG00000168421	ENSG00000168421	HGNC:686													
RNF31	gene	RNF31	Expert Review Amber;GRID V2.0;IUIS Classification December 2019;IUIS Classification February 2018;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Bacterial infections, autoinflammation, amylopectinosis, lymphangiectasia;Autoinflammatory syndrome with pyogenic bacterial infection and amylopectinosis;Polyglucosan body myopathy, early-onset, with or without immunodeficiency;autoinflammation and combined immunodeficiency;Combined immunodeficiencies with associated or syndromic features				30936877;32086639;26008899;32048120		False	2	0;50;50	2.465	False		ENSG00000092098	ENSG00000092098	HGNC:16031													
RNU7-1	gene	RNU7-1	Expert Review Amber;Literature	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Aicardi-Gouti res syndrome-like;Type 1 interferonopathy				33230297		False	2	0;100;0	2.465	False		ENSG00000238923	ENSG00000238923	HGNC:34033													
SAMD9	gene	SAMD9	Expert Review Amber;IUIS Classification December 2019;IUIS Classification February 2018	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	ataxia-thrombocytopenia syndrome;IUGR with gonadal abnormalities, adrenal failure, MDS with chromosome 7 aberrations, predisposition to infections, enteropathy, absent spleen;MIRAGE syndrome (Myelodysplasia, Infection, Restriction of growth, Adrenal insufficiency, Genital phenotypes, and Enteropathy);Bone marrow failure;Combined immunodeficiencies with associated or syndromic features				28487541;29535429;32048120;29266745;29175836;32086639		False	2	0;100;0	2.465	False		ENSG00000205413	ENSG00000205413	HGNC:1348													
SAMD9L	gene	SAMD9L	Expert Review Amber;IUIS Classification December 2019;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Cytopenia, predisposition to MDS with chromosome 7 aberrations, immunodeficiency, and progressive cerebellar dysfunction;MDS, neurological features;Bone marrow failure;Combined immunodeficiencies with associated or syndromic features				32048120;28202457;32086639		False	2	0;100;0	2.465	False		ENSG00000177409	ENSG00000177409	HGNC:1349													
SASH3	gene	SASH3	Expert Review Amber;Literature	Primary immunodeficiency			X-LINKED: hemizygous mutation in males, biallelic mutations in females	Combined immunodeficiency;lymphopenia;neutropenia;immunodysregulation;autoimmune cytopenias				33876203		False	2	100;0;0	2.465	False		ENSG00000122122	ENSG00000122122	HGNC:15975													
SEC61A1	gene	SEC61A1	Expert Review Amber;IUIS Classification December 2019	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	SEC61A1  deficiency;Severe recurrent respiratory tract infections;Hyperuricemic nephropathy, familial juvenile, 4, 617056;Predominantly Antibody Deficiencies				28782633;32086639;32048120;27392076		False	2	50;50;0	2.465	False		ENSG00000058262	ENSG00000058262	HGNC:18276													
SLC39A7	gene	SLC39A7	Expert Review Amber;IUIS Classification December 2019;Literature	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Early onset infections, blistering dermatosis, failure to thrive, thrombocytopenia;Predominantly Antibody Deficiencies;B cell deficiency;Agammaglobulinemia				32086639;32048120;30718914		False	2	67;33;0	2.465	False		ENSG00000112473	ENSG00000112473	HGNC:4927													
SLC7A7	gene	SLC7A7	Expert Review Amber;IUIS Classification December 2019	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Lysinuric protein intolerance SLC7A7 deficiency;Severe bacterial infections;Predominantly Antibody Deficiencies;Lysinuric protein intolerance, 222700				28057010;32086639;32048120		False	2	67;33;0	2.465	False		ENSG00000155465	ENSG00000155465	HGNC:11065													
SLC9A3	gene	SLC9A3	Expert Review;Expert Review Amber	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Very Early Onset Inflammatory Bowel Disease;Diarrhea 8, secretory sodium, congenital, OMIM:616868				26358773;33346580		False	2	0;100;0	2.465	False		ENSG00000066230	ENSG00000066230	HGNC:11073													
SMARCD2	gene	SMARCD2	Expert Review Amber;IUIS Classification December 2019;IUIS Classification February 2018	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Neutropenia, developmental aberrations, skeletal abnormalities, hematopoietic stem cells, myelodysplasia;Congenital defects of phagocyte number or function;Specific granule deficiency 2, 617475				32048120;32086639;28369036;28369034		False	2	100;0;0	2.465	False		ENSG00000108604	ENSG00000108604	HGNC:11107													
SNORA31	gene	SNORA31	Expert Review Amber;Literature	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Herpes simplex encephalitis				31806906		False	2	100;0;0	2.465	False		ENSG00000199477	ENSG00000199477	HGNC:32621													
SOCS1	gene	SOCS1	Expert Review Amber;Literature	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Common variable immunodeficiency;Early-onset autoimmunity				32499645;10490099;10490100;33087723		False	2	100;0;0	2.465	False		ENSG00000185338	ENSG00000185338	HGNC:19383													
SPI1	gene	SPI1	Expert Review Amber;Literature	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Agammaglobulinemia				33951726		False	2	100;0;0	2.465	False		ENSG00000066336	ENSG00000066336	HGNC:11241													
SRP54	gene	SRP54	Expert Review Amber;IUIS Classification December 2019;IUIS Classification February 2018	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Congenital defects of phagocyte number or function;Schwachman Diamond features;Neutropenia, severe congenital, 8, autosomal dominant, 618752				32086639;28972538;29914977;32048120		False	2	50;50;0	2.465	False		ENSG00000100883	ENSG00000100883	HGNC:11301													
STXBP3	gene	STXBP3	Expert Review;Expert Review Amber	Primary immunodeficiency			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Very Early Onset Inflammatory Bowel Disease;Sensorineural hearing loss				33346580;https://doi.org/10.1053/j.gastro.2017.11.120;33891011		False	2	33;67;0	2.465	False		ENSG00000116266	ENSG00000116266	HGNC:11446													
SYK	gene	SYK	Expert Review Amber;Literature	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	immunodeficiency;hypogammaglobulinemia;multi-organ inflammatory disease				33782605		False	2	50;50;0	2.465	False	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000165025	ENSG00000165025	HGNC:11491													
TAPBP	gene	TAPBP	ESID Registry 20171117;Expert Review Amber;GOSH PID v.8.0;GRID V2.0;IUIS Classification December 2019;IUIS Classification February 2018;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Vasculitis, pyoderma gangrenosum;Bare lymphocyte syndrome, type I 604571;HLA class I deficiency;Immunodeficiencies affecting cellular and humoral immunity;Vasculitis,pyoderma gangrenosum				32086639;12149238;32048120		False	2	0;100;0	2.465	False		ENSG00000231925	ENSG00000231925	HGNC:11566													
TBX1	gene	TBX1	ESID Registry 20171117;Expert Review Amber;GRID V2.0;IUIS Classification December 2019;IUIS Classification February 2018;Other;SCID v1.6;Victorian Clinical Genetics Services	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Hypoparathyroidism, conotruncal cardiac malformation, velopalatal insufficiency, abnormal facies, intellectual disability;Di George syndrome;Severe combined immunodeficiency (SCID);DiGeorge syndrome 188400;T-B+ SCID;Combined immunodeficiencies with associated or syndromic features				11242110;32048120;32086639;14585638;24198816;12548732		False	2	0;40;60	2.465	False		ENSG00000184058	ENSG00000184058	HGNC:11592													
TERC	gene	TERC	ESID Registry 20171117;Expert Review Amber;GRID V2.0;IUIS Classification December 2019;IUIS Classification February 2018;Victorian Clinical Genetics Services	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Intrauterine growth retardation, microcephaly, nail dystrophy, sparse scalp hair and eyelashes, hyperpigmentation of skin, palmar hyperkeratosis, premalignant oral leukoplakia, pancytopenia, myelodysplasia, +/- recurrent infections. A severe phenotype with developmental delay and cerebellar hypoplasia known as Hoyeraal-Hreidarsson Syndrome (HHS) may occur in some DKC patients;Dyskeratosis congenita;Hoyeraal-Hreidarsson syndrome;microcephaly, neurodevelopmental delay;Bone marrow failure, pulmonary and hepatic fibrosis, nail dystrophy, leukoplakia, reticulate skin pigmentation;Bone marrow failure;Dyskeratosis congenita 1;Combined immunodeficiencies with associated or syndromic features				32048120;12525685;16332973;11574891;32086639		False	2	0;100;0	2.465	False		ENSG00000270141	ENSG00000270141	HGNC:11727													
TERT	gene	TERT	ESID Registry 20171117;Expert Review Amber;GRID V2.0;IUIS Classification February 2018;Victorian Clinical Genetics Services	Primary immunodeficiency			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Bone marrow failure, pulmonary and hepatic fibrosis, nail dystrophy, leukoplakia, reticulate skin pigmentation;microcephaly, neurodevelopmental delay;Bone marrow failure, pulmonary and hepatic fibrosis, nail dystrophy, leukoplakia, reticulate skin pigmentation;microcephaly, neurodevelopmental delay;Bone marrow failure				16247010;18460650;15885610;17785587		False	2	0;100;0	2.465	False		ENSG00000164362	ENSG00000164362	HGNC:11730													
TET2	gene	TET2	Expert Review Amber;Literature	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Primary Immunodeficiency;Lymphoma;Hepatosplenomegaly;Autoimmunity;Developmental delay				32518946		False	2	50;50;0	2.465	False		ENSG00000168769	ENSG00000168769	HGNC:25941													
TFRC	gene	TFRC	Expert Review Amber;IUIS Classification December 2019;IUIS Classification February 2018;Other	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Recurrent infections, neutropenia, thrombocytopenia;Recurrent infections, thrombocytopenia;Immunodeficiencies affecting cellular and humoral immunity;Immunodeficiency 46, 616740;T cells: normal number, poor proliferation;B cells: normal number, low memory B cells;recurrent infections, neutorpaenia;thrombocytopaenia				32086639;26642240;32048120		False	2	0;100;0	2.465	False		ENSG00000072274	ENSG00000072274	HGNC:11763													
TGFB1	gene	TGFB1	Expert Review Amber;IUIS Classification December 2019	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Inflammatory bowel disease, immunodeficiency, and encephalopathy, 618213;IBD, immunodeficiency, recurrent viral infections, microcephaly, and encephalopathy;Diseases of Immune Dysregulation;TGFB1 deficiency				32086639;32048120;29483653		False	2	0;100;0	2.465	False		ENSG00000105329	ENSG00000105329	HGNC:11766													
TINF2	gene	TINF2	ESID Registry 20171117;Expert Review Amber;GRID V2.0;IUIS Classification February 2018;Victorian Clinical Genetics Services	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Bone marrow failure, pulmonary and hepatic fibrosis, nail dystrophy, leukoplakia, reticulate skin pigmentation;microcephaly, neurodevelopmental delay;Bone marrow failure, pulmonary and hepatic fibrosis, nail dystrophy, leukoplakia, reticulate skin pigmentation;microcephaly, neurodevelopmental delay exudative retinopathy				18252230;18979121;21199492;21477109;29742735;27033759;18669893		False	2	0;100;0	2.465	False		ENSG00000092330	ENSG00000092330	HGNC:11824													
TLR7	gene	TLR7	Expert Review Amber;Literature	Primary immunodeficiency			X-LINKED: hemizygous mutation in males, biallelic mutations in females	Immunodeficiency 74, COVID19-related, X-linked, MIM# 301051				32706371		False	2	100;0;0	2.465	False		ENSG00000196664	ENSG00000196664	HGNC:15631													
TNFRSF11A	gene	TNFRSF11A	Expert Review Amber;IUIS Classification December 2019;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Osteopetrosis;Defects in Intrinsic and Innate Immunity;Defects in intrinsic and innate immunity				32048120;32086639		False	2	0;100;0	2.465	False		ENSG00000141655	ENSG00000141655	HGNC:11908													
TNFRSF13C	gene	TNFRSF13C	ESID Registry 20171117;Expert Review Amber;GRID V2.0;IUIS Classification December 2019;IUIS Classification February 2018;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Variable clinical expression;Common variable immunodeficiency disorders (CVID);Immunodeficiency, common variable, 4;Isolated IgG subclass deficiency;Predominantly Antibody Deficiencies				32048120;32086639		False	2	0;100;0	2.465	False		ENSG00000159958	ENSG00000159958	HGNC:17755													
TNFRSF9	gene	TNFRSF9	Expert Review Amber;IUIS Classification December 2019	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	CD137 deficiency (41BB);EBV lymphoproliferation, B-cell lymphoma				30872117;32086639;31537641;31501153;32048120		False	2	50;50;0	2.465	False		ENSG00000049249	ENSG00000049249	HGNC:11924													
TOP2B	gene	TOP2B	Expert Review Amber;IUIS Classification December 2019	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Recurrent infections, facial dysmorphism, limb anomalies;Predominantly Antibody Deficiencies;Hoffman syndrome/TOP2B deficiency				31409799;32086639;32048120		False	2	50;50;0	2.465	False		ENSG00000077097	ENSG00000077097	HGNC:11990													
TRAF3IP2	gene	TRAF3IP2	ESID Registry 20171117;Expert Review Amber;GRID V2.0;IUIS Classification December 2019;IUIS Classification February 2018;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Defects in Intrinsic and Innate Immunity;CMC, blepharitis, folliculitis and macroglossia;Chronic mucocutaneous candidiasis (CMC);Defects in intrinsic and innate immunity;Candidiasis, familial, 8 615527				32048120;24120361;32086639;31292894;20660351		False	2	0;50;50	2.465	False		ENSG00000056972	ENSG00000056972	HGNC:1343													
TRIM22	gene	TRIM22	Expert Review Amber;IUIS Classification December 2019	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Autoinflammatory Disorders;Granulomatous colitis;Diseases of Immune Dysregulation;TRIM22;Inflammatory bowel disease				26836588;32086639;32048120		False	2	50;50;0	2.465	False		ENSG00000132274	ENSG00000132274	HGNC:16379													
USP18	gene	USP18	Expert Review Amber;IUIS Classification December 2019;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Pseudo-TORCH syndrome 2, 617397;Autoinflammatory Disorders				32048120;27325888;31272490;32086639;31940699		False	2	60;40;0	2.465	False		ENSG00000184979	ENSG00000184979	HGNC:12616													
WDR1	gene	WDR1	Expert Review Amber;IUIS Classification December 2019;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Mild neutropenia, poor wound healing, severe stomatitis, neutrophil nuclei herniate;Congenital defects of phagocyte number or function				32048120;27557945;32086639;27994071;27557945;29751004		False	2	20;80;0	2.465	False		ENSG00000071127	ENSG00000071127	HGNC:12754													
ZNF341	gene	ZNF341	Expert Review Amber;IUIS Classification December 2019;Literature	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Hyper-IgE syndrome;Bacterial infections, mild facial dysmorphism, pneumatoceles, hyperextensible joints, bone fractures, retention of primary teeth;Combined immunodeficiencies with associated or syndromic features				32086639;29907691;32048120;29907690		False	2	67;33;0	2.465	False		ENSG00000131061	ENSG00000131061	HGNC:15992													
ZNFX1	gene	ZNFX1	Expert Review Amber;Literature	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	mendelian susceptibility to mycobacterial disease;MSMD;monocytosis.				33876776;33872655		False	2	100;0;0	2.465	False		ENSG00000124201	ENSG00000124201	HGNC:29271													
ABI3	gene	ABI3	Literature	Primary immunodeficiency			Unknown	primary immunodeficiency						False	1	0;0;100	2.465	False		ENSG00000108798	ENSG00000108798	HGNC:29859													
ACTB	gene	ACTB	ESID Registry 20171117;Expert Review Red;GRID V2.0;IUIS Classification December 2019;IUIS Classification February 2018;Victorian Clinical Genetics Services	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Actin beta deficiency (ACTB);Poor neutrophil chemotaxis, oxidative burst and actin remodeling. Thrombocytopenia;neutrophil dysfunction;Phagocytic disorder;Mental retardation, short stature;Baraitser-Winter syndrome 1, 243310;Congenital defects of phagocyte number or function				32048120;10411937;32086639		False	1	0;0;100	2.465	False		ENSG00000075624	ENSG00000075624	HGNC:132													
APOL1	gene	APOL1	ESID Registry 20171117;Expert Review Red;GRID V2.0;IUIS Classification December 2019;IUIS Classification February 2018;Victorian Clinical Genetics Services	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Trypanosomias;Trypanosomiasis;Defects in Intrinsic and Innate Immunity;Trypanosomiasis, susceptibility to				28827791;29470556;32048120;28537557;16720107;15894515;25100047;29077717;32086639		False	1	0;0;100	2.465	False		ENSG00000100342	ENSG00000100342	HGNC:618													
ARHGAP42	gene	ARHGAP42	Expert Review Red;Literature	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Interstitial lung disease;systemic hypertension;immunological abnormalities				34232960		False	1	0;0;100	2.465	False		ENSG00000165895	ENSG00000165895	HGNC:26545													
ARHGEF1	gene	ARHGEF1	IUIS Classification December 2019	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Predominantly Antibody Deficiencies;Recurrent infections, bronchiectasis;Immunodeficiency 62, 618459;ARHGEF1 deficiency				32086639;30521495;32048120		False	1	0;50;50	2.465	False		ENSG00000076928	ENSG00000076928	HGNC:681													
ATG4A	gene	ATG4A	Expert Review Red;Literature	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Mollaret s meningitis;recurrent HSV2 meningitis				33310865		False	1	0;0;100	2.465	False		ENSG00000101844	ENSG00000101844	HGNC:16489													
BRCA1	gene	BRCA1	IUIS Classification December 2019	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Fanconi anemia, complementation group S, 617883;normal to low NK, CNS, skeletal, skin, cardiac, GI, urogenital anomalies, increased chromosomal breakage;Bone marrow failure;Fanconi Anemia Type S				32086639;32048120		False	1	0;0;0	2.465	False		ENSG00000012048	ENSG00000012048	HGNC:1100													
BRCA2	gene	BRCA2	IUIS Classification December 2019	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Fanconi anemia, complementation group D1, 605724;Normal to low NK, CNS, skeletal, skin, cardiac, GI, urogenital anomalies, increased chromosomal breakage;Bone marrow failure;Fanconi Anemia Type D1				32086639;32048120		False	1	0;0;0	2.465	False		ENSG00000139618	ENSG00000139618	HGNC:1101													
C8G	gene	C8G	ESID Registry 20171117;Expert Review Red;GRID V2.0;IUIS Classification December 2019;IUIS Classification February 2018;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Complement Deficiencies;Disseminated neisserial infections;Complement component 8 deficiency;Complement factor 8 defect				32048120;32086639		False	1	0;0;100	2.465	False		ENSG00000176919	ENSG00000176919	HGNC:1354													
CD28	gene	CD28	Expert Review Red;Literature	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	cutaneous horn;immunodeficiency;papillomavirus infection;tree man syndrome;warts				34214472		False	1	0;0;100	2.465	False		ENSG00000178562	ENSG00000178562	HGNC:1653													
CFHR2	gene	CFHR2	Expert Review Red;GRID V2.0;IUIS Classification December 2019;IUIS Classification February 2018;Victorian Clinical Genetics Services	Primary immunodeficiency			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Older onset atypical hemolytic-uremic syndrome, disseminated neisserial infections;Age related macular degeneration;Complement Deficiencies;Atypical hemolytic uremic syndrome susceptibility				32048120;32086639		False	1	0;50;50	2.465	False		ENSG00000080910	ENSG00000080910	HGNC:4890													
CLCN7	gene	CLCN7	Expert Review Red;IUIS Classification December 2019;IUIS Classification February 2018	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Defects in Intrinsic and Innate Immunity;Osteopetrosis with hypocalcemia, neurologic features				32048120;32086639		False	1	0;0;100	2.465	False		ENSG00000103249	ENSG00000103249	HGNC:2025													
CNBP	gene	CNBP	ESID Registry 20171117;Expert Review Red	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Myotonic dystrophy 2, OMIM:602668;Myotonic dystrophy type 2, MONDO:0011266				12601109		False	1	33;33;33	2.465	False		ENSG00000169714	ENSG00000169714	HGNC:13164													
COLEC11	gene	COLEC11	ESID Registry 20171117;Expert Review Red	Primary immunodeficiency				Mannan-binding lectin serine protease (MASP) deficiency						False	1	0;50;50	2.465	False		ENSG00000118004	ENSG00000118004	HGNC:17213													
CSF2	gene	CSF2	Expert Review Red;Literature	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Behcet-like disease;Pathergy				33349924		False	1	0;0;100	2.465	False	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000164400	ENSG00000164400	HGNC:2434													
CTNNBL1	gene	CTNNBL1	Expert Review Red;Literature	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Primary Immunodeficiency;Autoimmune Cytopenias;Common variable immunodeficiency				32484799		False	1	0;0;100	2.465	False		ENSG00000132792	ENSG00000132792	HGNC:15879													
